method,augmentation_rate,code_similarity
KeyboardAug,0.8,0.4764705882352939
KeyboardAug,0.8,0.45948717948717965
KeyboardAug,0.8,0.5333333333333333
KeyboardAug,0.8,0.27589743589743626
KeyboardAug,0.8,0.2625641025641025
KeyboardAug,0.8,0.9278846153846154
KeyboardAug,0.8,0.4
KeyboardAug,0.8,0.32930728241562807
KeyboardAug,0.8,0.10769230769230755
KeyboardAug,0.8,0.3558312655086854
KeyboardAug,0.85,0.3025936599423625
KeyboardAug,0.85,0.4691489361702125
KeyboardAug,0.85,0.30976253298152684
KeyboardAug,0.85,0.724102564102564
KeyboardAug,0.85,0.4385356454720616
KeyboardAug,0.85,0.44651952461799266
KeyboardAug,0.85,0.36375838926174414
KeyboardAug,0.85,0.4492871690427683
KeyboardAug,0.85,0.32791327913278734
KeyboardAug,0.85,0.3756097560975574
KeyboardAug,0.85,0.7312820512820514
KeyboardAug,0.85,0.3359867330016551
KeyboardAug,0.85,0.40000000000000074
KeyboardAug,0.85,0.44537444933920733
KeyboardAug,0.85,0.5079812206572769
KeyboardAug,0.85,0.9056410256410257
KeyboardAug,0.85,0.7420289855072467
KeyboardAug,0.85,0.37681159420289784
KeyboardAug,0.85,0.7682926829268294
KeyboardAug,0.85,0.5487179487179488
KeyboardAug,0.9,0.3821192052980117
KeyboardAug,0.9,0.44259259259259287
KeyboardAug,0.9,0.37977528089887663
KeyboardAug,0.9,1.0
KeyboardAug,0.9,0.27709384460140907
KeyboardAug,0.9,0.2840174672489065
KeyboardAug,0.9,0.2772036474164121
KeyboardAug,0.9,0.273407821229054
KeyboardAug,0.9,0.7408071748878923
KeyboardAug,0.9,0.6365217391304349
KeyboardAug,0.9,0.41232604373757464
KeyboardAug,0.9,0.47192118226600993
KeyboardAug,0.9,0.5928205128205128
KeyboardAug,0.9,0.3096428571428571
KeyboardAug,0.9,0.2914027149321268
KeyboardAug,0.9,0.31413612565444743
KeyboardAug,0.9,0.575
KeyboardAug,0.9,0.4019762845849781
KeyboardAug,0.9,0.27710487444608395
KeyboardAug,0.9,0.31296572280178675
KeyboardAug,0.95,0.8793969849246231
KeyboardAug,0.95,0.7230769230769231
KeyboardAug,0.95,0.47220447284345013
KeyboardAug,0.95,0.30082918739634945
KeyboardAug,0.95,0.3887179487179488
KeyboardAug,0.95,0.28602620087336234
KeyboardAug,0.95,0.5517948717948719
KeyboardAug,0.95,0.41900452488687795
KeyboardAug,0.95,0.3158567774936035
KeyboardAug,0.95,0.47131367292225274
KeyboardAug,0.95,0.25337837837837807
KeyboardAug,0.95,0.33548387096774035
KeyboardAug,0.95,0.9025641025641026
KeyboardAug,0.95,0.43640449438202283
KeyboardAug,0.95,0.3014925373134325
KeyboardAug,0.95,0.3230769230769231
KeyboardAug,0.95,0.40139860139859923
KeyboardAug,0.95,0.14256410256410262
KeyboardAug,0.95,0.34022988505746843
KeyboardAug,0.95,0.8225641025641024
KeyboardAug,1.0,0.17142857142857168
KeyboardAug,1.0,0.13538461538461527
KeyboardAug,1.0,0.29785714285714276
KeyboardAug,1.0,0.7131578947368422
KeyboardAug,1.0,0.3655394524959714
KeyboardAug,1.0,0.5353846153846155
KeyboardAug,1.0,0.3071965628356598
KeyboardAug,1.0,0.301501501501498
KeyboardAug,1.0,0.2061538461538461
KeyboardAug,1.0,0.3182863113897546
KeyboardAug,1.0,0.6521126760563379
KeyboardAug,1.0,0.310261569416497
KeyboardAug,1.0,0.3656488549618309
KeyboardAug,1.0,0.12717948717948738
KeyboardAug,1.0,0.5335149863760226
KeyboardAug,1.0,0.3675675675675648
KeyboardAug,1.0,0.2762599469496001
KeyboardAug,1.0,0.8882051282051281
KeyboardAug,1.0,0.23914590747330958
KeyboardAug,1.0,0.517241379310345
