phrase,model,temperature,repetition_penalty,top_p,avg_bleu,avg_rouge1,avg_semantic_similarity,diversity_between_paraphrases,success
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.95,0.5646007862795962,0.7915545209816338,0.9080408573150635,0.8543888703868834,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.75,0.5755503397432636,0.7584496124031008,0.8760153889656067,0.8393929770106819,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.85,0.5755503397432636,0.7584496124031008,0.8760153889656067,0.8393929770106819,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,2.0,0.95,0.5755503397432636,0.7584496124031008,0.8760153889656067,0.8393929770106819,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.75,0.5755503397432636,0.7584496124031008,0.8744588255882263,0.8418950055794013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.85,0.32705159464721706,0.5777093596059114,0.8769198775291442,0.903988563304209,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,3.0,0.95,0.3168176521601028,0.6205531505531506,0.8892442464828492,0.95035986670406,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.75,0.25492176372092346,0.5063492063492063,0.8515632152557373,0.9151796584242164,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.85,0.3227722269661189,0.6343815513626835,0.8697299838066102,0.9095645885168313,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,4.0,0.95,0.2909234175626884,0.5746911905120861,0.8724695920944214,0.8478626900641111,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.75,0.5753681388073628,0.8023481717752846,0.9125921249389648,0.8792636698181171,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.85,0.5753681388073628,0.8023481717752846,0.9125921249389648,0.8792636698181171,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,1.0,0.95,0.3326596709162938,0.5705084745762712,0.8086825728416442,0.9557020421381459,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.75,0.5866990246316196,0.7746690518783542,0.882376766204834,0.765561862810124,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.85,0.2845601207843337,0.5232736572890025,0.8345349311828614,0.9079634429633296,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,2.0,0.95,0.5669587413439157,0.7425322997416022,0.8750797629356384,0.8606237089054268,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.75,0.31313742301184266,0.6139254702412598,0.8866789698600769,0.9354502092363124,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.85,0.30736501832024776,0.6167213082810836,0.8383622169494629,0.730491410074947,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,3.0,0.95,0.2503662169900459,0.48089950372208434,0.8025232911109924,0.8672689131394101,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.75,0.31390303353655086,0.6182635882635883,0.8851780891418457,0.9396995301875537,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.85,0.267049588190048,0.5600198412698413,0.8646453142166137,0.825699780853491,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.75,4.0,0.95,0.2862107946677285,0.5478688524590163,0.8409293413162231,0.9067948470952191,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.75,0.5388188084625735,0.7678027172298302,0.8834563851356506,0.7617804617006624,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.85,0.5281656977762142,0.7378654912823683,0.8175201177597046,0.6834121067647273,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.0,0.95,0.5567378612882631,0.7904434098705228,0.9071531414985656,0.8421927382811148,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.75,0.5768209852590462,0.7498628503279666,0.8806326031684876,0.7795481207878033,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.85,0.5521766479730201,0.7425322997416021,0.8694408535957336,0.8477445396966097,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,2.0,0.95,0.2802062752718795,0.48397271952259163,0.7786344170570374,0.9141878681502366,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.75,0.288170560698861,0.5299713769745248,0.8264635562896728,0.6476141409588586,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.85,0.2588467896501672,0.5703932537363281,0.8231535911560058,0.9552280414073824,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,3.0,0.95,0.29451302995387374,0.5882774667680327,0.8606227159500122,0.7917025206944986,True
